Institution,Conference,Accum Attendance,Avg Attendance,Stadium Capacity,Pct Capacity,Games
Air Force,Mountain West,"94,871","23,718","46,692",50.8,4
Akron,MAC,"35,968","11,989","30,000",39.96,3
Alabama,SEC,"295,550","98,517","101,821",96.75,3
App State,Sun Belt,"126,414","31,604","30,000",105.35,4
Arizona,Pac-12,"146,716","36,679","53,646",68.37,4
Arizona St.,Pac-12,"178,369","44,592","64,248",69.41,4
Arkansas,SEC,"278,277","69,569","72,000",96.62,4
Arkansas,SEC,"278,277","69,569",0,Inf,4
Arkansas St.,Sun Belt,"54,387","13,597","30,382",44.75,4
Army West Point,FBS Independent,"75,064","25,021","38,000",65.85,3
Auburn,SEC,"340,667","85,167","87,451",97.39,4
Ball St.,MAC,"41,764","13,921","22,500",61.87,3
Baylor,Big 12,"176,585","44,146","45,140",97.8,4
Boise St.,Mountain West,"106,666","26,667","36,387",73.29,4
Boston College,ACC,"113,840","37,947","44,500",85.27,3
Bowling Green,MAC,"52,999","17,666","24,000",73.61,3
Buffalo,MAC,"64,513","16,128","29,013",55.59,4
BYU,FBS Independent,"248,727","62,182","63,470",97.97,4
California,Pac-12,"107,385","35,795","62,467",57.3,3
Central Mich.,MAC,"54,622","18,207","30,255",60.18,3
Charlotte,C-USA,"50,492","12,623","15,314",82.43,4
Cincinnati,AAC,"147,432","36,858","37,500",98.29,4
Clemson,ACC,"239,268","79,756","81,500",97.86,3
Coastal Carolina,Sun Belt,"67,868","16,967","20,000",84.84,4
Colorado,Pac-12,"189,638","47,410","50,183",94.47,4
Colorado St.,Mountain West,"94,341","31,447","36,500",86.16,3
Duke,ACC,"61,391","15,348","40,004",38.37,4
East Carolina,AAC,"113,509","37,836","50,000",75.67,3
Eastern Mich.,MAC,"61,636","15,409","30,200",51.02,4
FIU,C-USA,0,0,"20,000",0,3
Fla. Atlantic,C-USA,"59,594","19,865","29,495",67.35,3
Florida,SEC,"352,463","88,116","88,548",99.51,4
Florida St.,ACC,"236,087","59,022","79,560",74.19,4
Fresno St.,Mountain West,"91,255","30,418","40,727",74.69,3
Ga. Southern,Sun Belt,"48,988","16,329","25,000",65.32,3
Georgia,SEC,"370,984","92,746","92,746",100,4
Georgia St.,Sun Belt,"45,516","15,172","25,000",60.69,3
Georgia Tech,ACC,"142,679","35,670","55,000",64.85,4
Hawaii,Mountain West,0,0,"9,000",0,3
Houston,AAC,"48,052","24,026","40,000",60.07,2
Illinois,Big Ten,"182,865","36,573","60,670",60.28,5
Indiana,Big Ten,"150,644","50,215","52,929",94.87,3
Iowa,Big Ten,"334,054","66,811","69,250",96.48,5
Iowa St.,Big 12,"183,446","61,149","61,500",99.43,3
Kansas,Big 12,"78,427","26,142","50,250",52.02,3
Kansas St.,Big 12,"192,449","48,112","50,000",96.22,4
Kent St.,MAC,"49,427","16,476","25,319",65.07,3
Kentucky,SEC,"284,666","56,933","61,000",93.33,5
Liberty,FBS Independent,"54,240","18,080","25,000",72.32,3
Louisiana,Sun Belt,"63,192","21,064","41,426",50.85,3
Louisiana Tech,C-USA,"46,142","15,381","28,562",53.85,3
Louisville,ACC,"119,015","39,672","60,800",65.25,3
LSU,SEC,"380,496","95,124","102,321",92.97,4
Marshall,C-USA,"73,526","24,509","38,019",64.46,3
Maryland,Big Ten,"151,067","37,767","54,000",69.94,4
Massachusetts,FBS Independent,"41,351","10,338","17,000",60.81,4
Memphis,AAC,"133,030","33,258","58,318",57.03,4
Miami (FL),ACC,"173,592","43,398","64,767",67.01,4
Miami (OH),MAC,"38,143","12,714","24,286",52.35,3
Michigan,Big Ten,"430,846","107,712","107,601",100.1,4
Michigan St.,Big Ten,"210,510","70,170","75,005",93.55,3
