,Distillery,DistCode,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Latitude,Longitude,%alc,review_point,price
0,Aberfeldy,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,286580.0,749680.0,46.23076923076923,86.6923076923077,131.0
1,Aberlour,1.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,326340.0,842570.0,49.333333333333336,87.66666666666667,80.6
2,AnCnoc,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,352960.0,839320.0,45.0,89.0,178.8
3,Ardbeg,3.0,4.0,1.0,4.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,141560.0,646220.0,50.3448275862069,89.83333333333333,1464.2
4,Ardmore,4.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,355350.0,829140.0,50.0,86.57142857142857,156.42857142857142
5,ArranIsleOf,5.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,194050.0,649950.0,49.75675675675676,85.70270270270271,85.86486486486487
6,Auchentoshan,6.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,247670.0,672610.0,47.125,84.775,244.175
7,Auchroisk,7.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,340754.0,848623.0,53.285714285714285,86.28571428571429,199.42857142857142
8,Aultmore,8.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,340754.0,848623.0,51.333333333333336,85.5,199.66666666666666
9,Balblair,9.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,270820.0,885770.0,44.95454545454545,86.5,253.95454545454547
10,Balmenach,10.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,307750.0,827170.0,50.5,87.5,97.5
11,Balvenie,11.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,332680.0,840840.0,47.513513513513516,88.37837837837837,3326.7837837837837
12,BenNevis,12.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,212600.0,775710.0,48.81818181818182,86.0909090909091,116.45454545454545
13,Benriach,13.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,323450.0,858380.0,48.475,86.175,209.425
14,Benrinnes,14.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,325800.0,839920.0,53.0,84.625,142.5
15,Benromach,15.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,303330.0,859350.0,46.583333333333336,85.08333333333333,373.0
16,Bladnoch,16.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,242260.0,554260.0,49.36363636363637,86.0909090909091,124.63636363636364
